"Title","EmbedCode","Summary_A","Summary_B","Selection"
"P 1618 81849","<iframe width=""""560"""" height=""""315"""" src=""""https://www.youtube.com/embed/KQqif36gd24"""" frameborder=""""0"""" allow=""""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"""" allowfullscreen></iframe>","A diverse group of working-class people are described as the """"faces of America."""" The candidate listens to them, understands them, and shares their dreams. At rallies, he emphasizes that he would prioritize and protect Social Security. The candidate is cut out for a difficult job as president.","The ad portrays American workers of different occupations who pay taxes and live by the rules of the government. It highlights how the candidate hears their voices and understands their fears regarding social security and their money. The candidate's character and his hard work for the people are praised.","1;2"
"P 1708 90180","<iframe width=""""560"""" height=""""315"""" src=""""https://www.youtube.com/embed/N24we0lvE2U"""" frameborder=""""0"""" allow=""""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"""" allowfullscreen></iframe>","The candidate tells the country that what it is missing is a president who has a policy that puts Americans back to work. The ad emphasizes the leadership experience of the candidate such as being the Attorney General of Minnesota, a U.S. senator, and Vice President to show his ability to fight for the people.","The candidate explains that Americans want to work but need a president whose policies can put them back to work. He is described as having a lifetime of leadership in various political positions. As president, the candidate would fight on Americans' side and first ensure that Americans have work.","2;1"
"P 2123 141983","<iframe width=""""560"""" height=""""315"""" src=""""https://www.youtube.com/embed/S-zA14tY-M4"""" frameborder=""""0"""" allow=""""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"""" allowfullscreen></iframe>","The advertisement addresses the opponent's claims of his friendliness toward the coal industry. However, the opponent plans to ship American jobs overseas, has Swiss bank accounts and tax havens, and aims to shut down coal power plants for harming people. The advertisement separates the opponent as """"not one of us.""""","The ad critiques the opposing candidate for saying he supports the coal industry and the people while he has financial irregularities that hurt Americans. The ad strives to emphasize how the candidate is not one of the people and will not serve their needs as he claims he will.","1;2"
"P 1425 66913","<iframe width=""""560"""" height=""""315"""" src=""""https://www.youtube.com/embed/TE0g4kZn-1I"""" frameborder=""""0"""" allow=""""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"""" allowfullscreen></iframe>","A woman is shown asking for the candidate's ideas on how to stop the spread of communism throughout the world. The candidate responds with plans to reform American alliances and repair the current administration's damages to NATO. He wants to work with these allies as equals to ensure peace.","The ad portrays a citizen who is concerned about the spread of communism and asks the candidate about what he will do to stop the spread of communism. The candidate discusses his plan to rebuild alliances, work together to rebuild peace, and to clean up the damage done by the existing administration.  ","2;1"
"P 2015 136329","<iframe width=""""560"""" height=""""315"""" src=""""https://www.youtube.com/embed/TSIEzDwfjgU"""" frameborder=""""0"""" allow=""""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"""" allowfullscreen></iframe>","The ad discusses the candidate's visit to Ohio and his promise to provide Ohio with jobs. The ad then features statistics on the high number of Ohioans who are unemployed and the jobs lost since the stimulus was passed. It emphasizes to the people that Ohio needs to change direction.","The advertisement shows the current president (opponent) giving a speech on jobs in Ohio. The opponent and an Ohio senator promised more jobs for Ohio but have failed on this promise while spending Americans' money. Ohio voters are encouraged to change direction and vote these officials out of office.","1;2"
"P 2015 136314","<iframe width=""""560"""" height=""""315"""" src=""""https://www.youtube.com/embed/Umk2PS6Zuz8"""" frameborder=""""0"""" allow=""""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"""" allowfullscreen></iframe>","The advertisement shows the current president (opponent) and his stance on the economy. He describes his plans that have not gone through Congress, and he was just on vacation. In the next year, unemployment is still too high with millions out of work.  America needs jobs instead of another speech.","A candidate speaks on the economy and how it is not growing fast enough. He highlights that he has things before Congress that they should be moving immediately. The ad then switches to attacking the candidate for failing to make any change as unemployment is still high and millions of Americans are out of work.","1;2"
"P 1615 81773","<iframe width=""""560"""" height=""""315"""" src=""""https://www.youtube.com/embed/VtZ5xaiSiik"""" frameborder=""""0"""" allow=""""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"""" allowfullscreen></iframe>","The ad features two different individuals who say they agree on very little but do both agree on endorsing the candidate in question. The candidate checks all the boxes for each individual regarding gun control, Medicare, education, tax policy, and more. The ad highlights that it is not a tough choice to make.","The advertisement depicts an older white man and younger black man sitting in New York. While there are few things the two men agree on, they both want the candidate for president. They support his stance on Medicare, gun control, education, and tax policy. This shows his diversity in approval.","2;1"
"P 1908 108788","<iframe width=""""560"""" height=""""315"""" src=""""https://www.youtube.com/embed/WZLZG9JBshc"""" frameborder=""""0"""" allow=""""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"""" allowfullscreen></iframe>","The candidate's sister describes his ability to understand, relate to, and listen to others. His grandmother describes his depth and broadness of view. It is clear that he cares deeply about his daughters and family values, and he wants to ensure that every child would have their same opportunities.","The ad features different individuals discussing their ability to relate to the candidate and how they feel understood by him. The candidate is praised for his depth and ability to listen. His family and children are discussed and connected to why he wants every child to have opportunities without barriers. ","2;1"
"P 1500 75019","<iframe width=""""560"""" height=""""315"""" src=""""https://www.youtube.com/embed/Wav9MpjeIMA"""" frameborder=""""0"""" allow=""""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"""" allowfullscreen></iframe>","While men are standing discussing politics, another man flippantly asks what it should mean to him. The man is guided into his wallet, showing that he has more money, a Social Security card, and auto registration that he did not have 20 years ago. This is attributable to Democrats.","The ad explains what politics means to the people and what the democratic party, specifically, has done for them. Social security, insured money in banks, and greater pay are used as examples of how the democrats have done well for the people and how the republicans will take this away.","2;1"
"P 1691 86717","<iframe width=""""560"""" height=""""315"""" src=""""https://www.youtube.com/embed/XFZfXGvukTQ"""" frameborder=""""0"""" allow=""""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"""" allowfullscreen></iframe>","The advertisement argues that the opposing candidate would have a litmus test established for the Joint Chiefs of Staff, showing footage of him explaining that requirement in a debate. The opponent then falls back on what he said in an indecisive manner. It is implied that he is an unfit candidate.","The ad attacks a candidate for double-talking as he first says that he would make it a requirement for the Joint Chiefs of Staff that the individual support his policy. The candidate then goes back and forth on whether this was what he meant to convey or not.","2;1"
"P 1436 67087","<iframe width=""""560"""" height=""""315"""" src=""""https://www.youtube.com/embed/ZPW55c6LH60"""" frameborder=""""0"""" allow=""""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"""" allowfullscreen></iframe>","The ad criticizes the politicians of Washington and how they are misleading the public about the flat tax. The ad promotes the candidate's flat tax by explaining how families and wage earners pay less and that the flat tax takes power from the politicians and gives money back to the people.","The advertisement accuses the opposing candidates of lying to Americans about the flat tax because they are losing the election. However, under the candidate's flat tax, it is expected that everyone would pay less, not more, in taxes. This would remove power from politicians and save money for Americans. ","2;1"
"P 2060 138579","<iframe width=""""560"""" height=""""315"""" src=""""https://www.youtube.com/embed/_HhVtVxkcRw"""" frameborder=""""0"""" allow=""""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"""" allowfullscreen></iframe>","The opposing candidate receives backlash from his recent attack advertisement against the candidate. The advertisement lists 14 different members of the opponent's party who have called him out on this. This is described as bad for this current president, while it has been a bad term for Americans.","The ad critiques the president and discusses an ad he made against a candidate that many think is unfair. Further, it discusses how the president is receiving a lot of negativity as a result and many of his loyal supporters are even saying enough.","1;2"
"P 1581 79623","<iframe width=""""560"""" height=""""315"""" src=""""https://www.youtube.com/embed/_YD8201kOfQ"""" frameborder=""""0"""" allow=""""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"""" allowfullscreen></iframe>","A mother asks the candidate why she has to spend so much on food if the government says this is the best the economy has been. The candidate blames the many taxes she must pay and emphasizes the need to cut costs which means cutting taxes. His administration will do so.","The candidate addresses a concern of a mother with her children about the price of eggs. The candidate explains that this is because there are over 100 taxes placed on just one egg. To lower the cost of things, taxes must be cut, which he implies he would do.","1;2"
"P 1500 75016","<iframe width=""""560"""" height=""""315"""" src=""""https://www.youtube.com/embed/aGczMlmSVUI"""" frameborder=""""0"""" allow=""""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"""" allowfullscreen></iframe>","The ad features a cartoon with different types of individuals endorsing the republican candidate and stating their dislike for the Democratic nominees. The ad emphasizes that everyone likes the candidate and that the people will take him to Washington; therefore, now is the time to vote for the candidate.","The advertisement sings along to a tune of """"Ike for president."""" Cartoon Americans and patriotic images stress the concept that everyone supports this candidate and for what he stands. It is expressed that bringing the candidate to Washington would be an American duty that everyone is fulfilling.","2;1"
"P 2114 141382","<iframe width=""""560"""" height=""""315"""" src=""""https://www.youtube.com/embed/cui6DFTWKfs"""" frameborder=""""0"""" allow=""""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"""" allowfullscreen></iframe>","The ad discusses Pennsylvania's importance in our history and that the need for a strong leader has never been greater. Many problems plague the state and nation which the candidate can help solve. The ad urges voters to elect a new president and it will be the turning point. ","The advertisement summarizes Pennsylvania's role in forming American history and revolutionary change. The """"American dream"""" is now fading, but Pennsylvania could be a turning point with the opportunity to fix that. By electing the candidate, the state can restore belief in America. Inspirational music and themes help push this message.","2;1"
"P 1616 82778","<iframe width=""""560"""" height=""""315"""" src=""""https://www.youtube.com/embed/eqMAnP1qFXk"""" frameborder=""""0"""" allow=""""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"""" allowfullscreen></iframe>","Eight Nobel Laureates are used as credibility in reviewing the opponent's economic plans. The combination of trillions in Social Security and tax cuts to the wealthy lead these experts to conclude that his economic plan exhausts the projected surplus, interest rates, and the deficit, which cannot be good for America.","The ad criticizes the candidate's election plan regarding social security by showing how Nobel Laureates evaluated the plan and found that it exhausts the projected surplus. The ad emphasizes that the plan does not add up ad it will only increase interest rates and the deficit. ","1;2"
"P 1818 102774","<iframe width=""""560"""" height=""""315"""" src=""""https://www.youtube.com/embed/fVWD1US6Ef4"""" frameborder=""""0"""" allow=""""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"""" allowfullscreen></iframe>","The ad praises the candidate for the reforms he passed as governor that produced actual results. Further, it praises his time as president and how he passed the first significant education reform in years that greatly impacted public schools, teachers, and the education that children receive.  ","As governor, the candidate enacted reforms that produced dramatic changes in education. As president, the candidate signed very significant education reforms. His education priorities include accountability and high standards, allowing parents to measure their child's progress. Because of the president, schools now require raised standards, quality teachers, and parent accountability.","2;1"
"P 1581 79612","<iframe width=""""560"""" height=""""315"""" src=""""https://www.youtube.com/embed/fYXWOho9WKo"""" frameborder=""""0"""" allow=""""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"""" allowfullscreen></iframe>","The candidate answers a question about the extent of waste in Washington. He responds that waste is so bad that just one bureau recently lost 400 million dollars, and the FBI cannot find it. He explains that it is time for change, implying that he can bring this change.","The ad features an individual asking the candidate about how bad waste in Washington is. The candidate emphasizes how the government has lost 400 million and that no one can find it. He uses this to emphasize the need for change and the weakness of the current administration.","2;1"
"P 1816 102673","<iframe width=""""560"""" height=""""315"""" src=""""https://www.youtube.com/embed/fze9LoP1iT4"""" frameborder=""""0"""" allow=""""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"""" allowfullscreen></iframe>","The ad discusses missing pages of evidence missing during the 9/11 Congressional hearing. The ad blames the candidate for hiding this and being involved with the Saudis, arguing that the candidate is too close to the Saudis and is a threat to America's well-being.","The congressional report on 9/11 had 28 missing pages, which allegedly confirmed that Saudi Arabia funded these terrorists. This evidence was kept secret under the current president who is friends with a Saudi Arabia defender. This shows that the current president and the Saudis are too close for America's comfort.","2;1"
"P 1817 102725","<iframe width=""""560"""" height=""""315"""" src=""""https://www.youtube.com/embed/gYhwyxJvknA"""" frameborder=""""0"""" allow=""""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"""" allowfullscreen></iframe>","The ad discusses the many symbols that represent America and its character. It then critiques the candidate for disrespecting the symbols of America. It uses this disrespect to argue that America cannot trust someone who has disrespected the country and what it stands for.","The advertisement explains that symbols represent the best things about America and are meant to be respected like the heroes they represent. Some people, however, do not share this respect. The candidate renounced his country's war symbols, and now he cannot be trusted as an American leader.","2;1"
"P 1361 63305","<iframe width=""""560"""" height=""""315"""" src=""""https://www.youtube.com/embed/h9yEYqdALYs"""" frameborder=""""0"""" allow=""""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"""" allowfullscreen></iframe>","The advertisement displays two men kissing. In the background, previous policies about the AIDS epidemic are described as unsuccessful in finding a cure. It is made clear that prevention of AIDS is not complicated, as """"kissing doesn't kill,"""" and the proper use of protection will prevent the spread of AIDS.","The ad critiques an opposing candidate and past leaders for their failure to provide presidential leadership to prevent the spread of AIDS. The democratic candidate emphasizes his understanding of HIV/AIDS and proper precautions. He urges for action and for America to fight AIDS.","2;1"
"P 1631 83508","<iframe width=""""560"""" height=""""315"""" src=""""https://www.youtube.com/embed/hTpm7XZHLmY"""" frameborder=""""0"""" allow=""""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"""" allowfullscreen></iframe>","The advertisement attacks the opponent's actions as governor. He gave tax breaks to oil companies, opposed child healthcare, kept minimum wage low, and did not police polluters. His state ranks last in healthcare and air pollution. His harmful plans promise trillions in Social Security and tax cuts to the wealthy.","A candidate's time as governor of Texas is criticized. His giving big oil a tax break, his opposing of health care for 200,000 plus kids, his leaving Texas to rank 50th in family health care and the minimum wage at an extreme low, and his lack of pollution regulation are all mentioned.","1;2"
"P 1827 103450","<iframe width=""""560"""" height=""""315"""" src=""""https://www.youtube.com/embed/i1lFGZf0FNE"""" frameborder=""""0"""" allow=""""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"""" allowfullscreen></iframe>","The ad critiques the candidate and right-wing Republicans for helping big drug companies while harming the American public. The ad switches over to praise the supporting candidate and democratic party that will force drug companies to lower prices and offer a real plan for Americans.","The opponent has helped big drug companies by prohibiting seniors from getting affordable and safe prescriptions from Cananda, bailing out drug companies, and allowing prices to skyrocket. The candidate, however, would force companies to lower prices and allow low-cost medicine from Canada, pushing America into a new and better direction.","2;1"
"P 1498 74079","<iframe width=""""560"""" height=""""315"""" src=""""https://www.youtube.com/embed/ilJtdEz6kus"""" frameborder=""""0"""" allow=""""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"""" allowfullscreen></iframe>","The ad criticizes the candidate for making voters think he sincerely believes in the civil rights portion of the Republican platform when in reality only says this to get votes in certain states. The ad supports the democratic candidate and says he truly endorses his party's platform in the entire country.","The advertisement accuses the opponent of being inconsistent with his stance on civil rights and misrepresenting his party. A supporter of the opponent explains that the opponent changes his platform to fit his audience. The candidate would not do this and is firm in his support for civil rights.","2;1"
"P 1840 104205","<iframe width=""""560"""" height=""""315"""" src=""""https://www.youtube.com/embed/jNXk-VUdt8g"""" frameborder=""""0"""" allow=""""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"""" allowfullscreen></iframe>","Repeat of ad P-1817-102732","The advertisement outlines an analogy with a man whose indecision in life decisions unfolds into chaotic events. Like this man, the candidate has been indecisive about very important policies. Since the candidate has changed his mind on all of these issues, he cannot be trusted as president.","2;1"
"P 1411 68113","<iframe width=""""560"""" height=""""315"""" src=""""https://www.youtube.com/embed/jenHeKjoLgo"""" frameborder=""""0"""" allow=""""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"""" allowfullscreen></iframe>","Parents describe being able to spend time with their sick child before she died, without losing their jobs. The current president signed the family leave law to allow this, while the opposing candidate worked for years to defeat such a measure. The candidate is shown as caring for these families.","The ad discusses the family and parent medical leave law signed by the president and the impact this has had on families. It then critiques the opposing candidate for leading a fight against the family leave law and emphasizes that unlike him, the president understands what families go through.","2;1"
"P 1772 101721","<iframe width=""""560"""" height=""""315"""" src=""""https://www.youtube.com/embed/uiy-S3Xg0M0"""" frameborder=""""0"""" allow=""""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"""" allowfullscreen></iframe>","The ad utilizes two individuals to show how the insurance industry is attacking the healthcare reform plan by the candidate. The ad emphasizes that the plan would guarantee Americans private insurance, expand doctors and plans, and stop the industry from raising prices or dropping coverage but the insurance industry stands in the way.","The advertisement describes attacks on the candidate's healthcare reform plan that have been paid for by the insurance industry. This plan, however, would help Americans by guaranteeing private insurance, expanding choices, and preventing insurance from increasing prices and dropping coverage. Viewers are advised to remember this when viewing attack advertisements.","2;1"
"P 1415 68229","<iframe width=""""560"""" height=""""315"""" src=""""https://www.youtube.com/embed/vfQlWsKSVQ0"""" frameborder=""""0"""" allow=""""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"""" allowfullscreen></iframe>","As president, the candidate cut taxes for millions of Americans, created 10 million new jobs, and wants tax credits for college graduates. The opposing candidate, however, voted to raise payroll taxes, resulting in $900 billion in higher taxes, and he will also likely cut Medicare, education, and the environment. ","The ad emphasizes all that the president has done for Americans while the opponent has only made it harder for Americans by making them spend billions more on taxes. The ad highlights that the candidate will have to make deep spending cuts on education, Medicare, and more. ","2;1"
